insert into ITEM values(1, 'SHIRT', 'SMALL', 2.53, 'MEN');
insert into ITEM values(2, 'SHIRT', 'SMALL', 2.29, 'MEN');
insert into ITEM values(3, 'SHIRT', 'SMALL', 2.63, 'MEN');
insert into ITEM values(4, 'SHIRT', 'MEDIUM', 2.88, 'MEN');
insert into ITEM values(5, 'SHIRT', 'MEDIUM', 2.15, 'MEN');
insert into ITEM values(6, 'SHIRT', 'MEDIUM', 2.14, 'MEN');
insert into ITEM values(7, 'SHIRT', 'LARGE', 2.97, 'MEN');
insert into ITEM values(8, 'SHIRT', 'LARGE', 2.77, 'MEN');
insert into ITEM values(9, 'SHIRT', 'LARGE', 2.52, 'MEN');
insert into ITEM values(10, 'SHIRT', 'XL', 2.57, 'MEN');
insert into ITEM values(11, 'SHIRT', 'XL', 2.81, 'MEN');
insert into ITEM values(12, 'SHIRT', 'XL', 2.27, 'MEN');
insert into ITEM values(13, 'SHIRT', 'XXL', 2.82, 'MEN');
insert into ITEM values(14, 'SHIRT', 'XXL', 2.97, 'MEN');
insert into ITEM values(15, 'SHIRT', 'XXL', 3.19, 'MEN');
insert into ITEM values(16, 'SHORTS', 'SMALL', 2.34, 'MEN');
insert into ITEM values(17, 'SHORTS', 'SMALL', 1.92, 'MEN');
insert into ITEM values(18, 'SHORTS', 'SMALL', 1.94, 'MEN');
insert into ITEM values(19, 'SHORTS', 'MEDIUM', 2.53, 'MEN');
insert into ITEM values(20, 'SHORTS', 'MEDIUM', 2.24, 'MEN');
insert into ITEM values(21, 'SHORTS', 'MEDIUM', 1.99, 'MEN');
insert into ITEM values(22, 'SHORTS', 'LARGE', 1.95, 'MEN');
insert into ITEM values(23, 'SHORTS', 'LARGE', 2.74, 'MEN');
insert into ITEM values(24, 'SHORTS', 'LARGE', 1.92, 'MEN');
insert into ITEM values(25, 'SHORTS', 'XL', 2.25, 'MEN');
insert into ITEM values(26, 'SHORTS', 'XL', 2.26, 'MEN');
insert into ITEM values(27, 'SHORTS', 'XL', 2.81, 'MEN');
insert into ITEM values(28, 'SHORTS', 'XXL', 2.03, 'MEN');
insert into ITEM values(29, 'SHORTS', 'XXL', 2.51, 'MEN');
insert into ITEM values(30, 'SHORTS', 'XXL', 2.62, 'MEN');
insert into ITEM values(31, 'JEANS', 'SMALL', 2.93, 'MEN');
insert into ITEM values(32, 'JEANS', 'SMALL', 2.85, 'MEN');
insert into ITEM values(33, 'JEANS', 'SMALL', 2.27, 'MEN');
insert into ITEM values(34, 'JEANS', 'MEDIUM', 2.93, 'MEN');
insert into ITEM values(35, 'JEANS', 'MEDIUM', 3.32, 'MEN');
insert into ITEM values(36, 'JEANS', 'MEDIUM', 2.57, 'MEN');
insert into ITEM values(37, 'JEANS', 'LARGE', 3.43, 'MEN');
insert into ITEM values(38, 'JEANS', 'LARGE', 3.06, 'MEN');
