insert into PURCHASEEVENT values(1, 30, 158, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.46); 
insert into PURCHASEEVENT values(2, 14, 80, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.58); 
insert into PURCHASEEVENT values(3, 51, 296, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.69); 
insert into PURCHASEEVENT values(4, 13, 31, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.63); 
insert into PURCHASEEVENT values(5, 7, 18, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.08); 
insert into PURCHASEEVENT values(6, 40, 269, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(7, 27, 124, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.85); 
insert into PURCHASEEVENT values(8, 8, 44, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 5.13); 
insert into PURCHASEEVENT values(9, 34, 128, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 5.14); 
insert into PURCHASEEVENT values(10, 46, 200, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.86); 
insert into PURCHASEEVENT values(11, 14, 45, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 5.18); 
insert into PURCHASEEVENT values(12, 36, 97, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.81); 
insert into PURCHASEEVENT values(13, 45, 224, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(14, 44, 265, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 1.88); 
insert into PURCHASEEVENT values(15, 33, 156, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.37); 
insert into PURCHASEEVENT values(16, 29, 137, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(17, 30, 146, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.24); 
insert into PURCHASEEVENT values(18, 44, 222, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.45); 
insert into PURCHASEEVENT values(19, 34, 172, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.91); 
insert into PURCHASEEVENT values(20, 55, 321, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.94); 
insert into PURCHASEEVENT values(21, 14, 11, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.12); 
insert into PURCHASEEVENT values(22, 23, 100, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.43); 
insert into PURCHASEEVENT values(23, 6, 72, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.63); 
insert into PURCHASEEVENT values(24, 51, 303, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.91); 
insert into PURCHASEEVENT values(25, 45, 215, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.41); 
insert into PURCHASEEVENT values(26, 35, 99, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.72); 
insert into PURCHASEEVENT values(27, 14, 64, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.86); 
insert into PURCHASEEVENT values(28, 31, 94, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.66); 
insert into PURCHASEEVENT values(29, 27, 152, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.79); 
insert into PURCHASEEVENT values(30, 51, 317, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.3); 
insert into PURCHASEEVENT values(31, 51, 316, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(32, 7, 48, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 2.7); 
insert into PURCHASEEVENT values(33, 36, 101, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.34); 
insert into PURCHASEEVENT values(34, 43, 238, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.36); 
insert into PURCHASEEVENT values(35, 56, 343, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.12); 
insert into PURCHASEEVENT values(36, 15, 9, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 4.47); 
insert into PURCHASEEVENT values(37, 42, 211, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.65); 
insert into PURCHASEEVENT values(38, 7, 37, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.94); 
insert into PURCHASEEVENT values(39, 26, 149, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.28); 
insert into PURCHASEEVENT values(40, 10, 82, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.54); 
insert into PURCHASEEVENT values(41, 7, 24, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.82); 
insert into PURCHASEEVENT values(42, 32, 114, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.05); 
insert into PURCHASEEVENT values(43, 41, 196, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.34); 
insert into PURCHASEEVENT values(44, 18, 140, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.49); 
insert into PURCHASEEVENT values(45, 25, 122, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.84); 
insert into PURCHASEEVENT values(46, 55, 309, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.81); 
insert into PURCHASEEVENT values(47, 54, 326, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.99); 
insert into PURCHASEEVENT values(48, 47, 280, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(49, 13, 27, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.83); 
insert into PURCHASEEVENT values(50, 32, 101, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.95); 
insert into PURCHASEEVENT values(51, 31, 117, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.07); 
insert into PURCHASEEVENT values(52, 46, 261, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.21); 
insert into PURCHASEEVENT values(53, 55, 280, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.74); 
insert into PURCHASEEVENT values(54, 16, 14, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.33); 
insert into PURCHASEEVENT values(55, 53, 334, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.0); 
insert into PURCHASEEVENT values(56, 49, 345, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.19); 
insert into PURCHASEEVENT values(57, 6, 37, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 5.19); 
insert into PURCHASEEVENT values(58, 42, 193, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.69); 
insert into PURCHASEEVENT values(59, 45, 230, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.96); 
insert into PURCHASEEVENT values(60, 15, 14, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.93); 
insert into PURCHASEEVENT values(61, 40, 226, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(62, 23, 95, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.72); 
insert into PURCHASEEVENT values(63, 29, 159, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.86); 
insert into PURCHASEEVENT values(64, 48, 359, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.63); 
insert into PURCHASEEVENT values(65, 36, 104, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.93); 
insert into PURCHASEEVENT values(66, 40, 238, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.83); 
insert into PURCHASEEVENT values(67, 9, 83, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.13); 
insert into PURCHASEEVENT values(68, 16, 80, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.36); 
insert into PURCHASEEVENT values(69, 53, 356, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.86); 
insert into PURCHASEEVENT values(70, 12, 10, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.77); 
insert into PURCHASEEVENT values(71, 55, 303, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.93); 
insert into PURCHASEEVENT values(72, 13, 72, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.59); 
insert into PURCHASEEVENT values(73, 36, 139, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.11); 
insert into PURCHASEEVENT values(74, 36, 100, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.94); 
insert into PURCHASEEVENT values(75, 55, 297, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.9); 
insert into PURCHASEEVENT values(76, 49, 306, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.33); 
insert into PURCHASEEVENT values(77, 47, 300, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.92); 
insert into PURCHASEEVENT values(78, 46, 182, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(79, 11, 74, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.45); 
insert into PURCHASEEVENT values(80, 19, 151, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.33); 
insert into PURCHASEEVENT values(81, 2, 89, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.52); 
insert into PURCHASEEVENT values(82, 56, 349, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.85); 
insert into PURCHASEEVENT values(83, 55, 301, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(84, 52, 277, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.11); 
insert into PURCHASEEVENT values(85, 29, 157, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.58); 
insert into PURCHASEEVENT values(86, 18, 133, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 4.79); 
insert into PURCHASEEVENT values(87, 55, 349, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.63); 
insert into PURCHASEEVENT values(88, 10, 43, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 5.13); 
