insert into RESTOCKEVENT values(1, 201, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(2, 189, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(3, 301, (TO_DATE('01/14/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(4, 305, (TO_DATE('01/20/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(5, 238, (TO_DATE('01/26/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(6, 249, (TO_DATE('01/31/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(7, 167, (TO_DATE('01/31/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(8, 191, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(9, 223, (TO_DATE('02/15/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(10, 318, (TO_DATE('02/22/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(11, 279, (TO_DATE('03/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(12, 257, (TO_DATE('04/20/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(13, 314, (TO_DATE('04/26/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(14, 233, (TO_DATE('09/30/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(15, 306, (TO_DATE('10/27/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(16, 181, (TO_DATE('11/02/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(17, 323, (TO_DATE('11/09/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(18, 173, (TO_DATE('11/10/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(19, 262, (TO_DATE('11/16/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(20, 127, (TO_DATE('11/17/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(21, 176, (TO_DATE('11/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(22, 26, (TO_DATE('11/23/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(23, 54, (TO_DATE('11/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(24, 358, (TO_DATE('12/12/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(25, 344, (TO_DATE('12/12/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(26, 169, (TO_DATE('12/16/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(27, 35, (TO_DATE('12/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(28, 15, (TO_DATE('12/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(29, 277, (TO_DATE('12/22/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(30, 160, (TO_DATE('12/27/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(31, 102, (TO_DATE('12/29/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(32, 39, (TO_DATE('01/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(33, 326, (TO_DATE('01/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(34, 215, (TO_DATE('01/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(35, 342, (TO_DATE('01/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(36, 76, (TO_DATE('01/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(37, 14, (TO_DATE('01/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(38, 209, (TO_DATE('01/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(39, 149, (TO_DATE('01/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(40, 64, (TO_DATE('01/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(41, 300, (TO_DATE('01/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(42, 56, (TO_DATE('01/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(43, 278, (TO_DATE('01/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(44, 47, (TO_DATE('01/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(45, 92, (TO_DATE('01/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(46, 198, (TO_DATE('01/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(47, 281, (TO_DATE('01/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(48, 65, (TO_DATE('01/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(49, 99, (TO_DATE('01/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(50, 336, (TO_DATE('01/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(51, 295, (TO_DATE('01/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(52, 139, (TO_DATE('01/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(53, 274, (TO_DATE('01/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(54, 134, (TO_DATE('02/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(55, 5, (TO_DATE('02/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(56, 103, (TO_DATE('02/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(57, 299, (TO_DATE('02/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(58, 110, (TO_DATE('02/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(59, 250, (TO_DATE('02/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(60, 7, (TO_DATE('02/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(61, 83, (TO_DATE('02/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(62, 159, (TO_DATE('02/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(63, 72, (TO_DATE('02/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(64, 202, (TO_DATE('02/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(65, 152, (TO_DATE('02/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(66, 352, (TO_DATE('02/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(67, 28, (TO_DATE('02/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(68, 268, (TO_DATE('02/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(69, 121, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(70, 332, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(71, 194, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(72, 94, (TO_DATE('02/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(73, 43, (TO_DATE('02/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(74, 224, (TO_DATE('02/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(75, 153, (TO_DATE('02/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(76, 190, (TO_DATE('02/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(77, 126, (TO_DATE('02/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(78, 337, (TO_DATE('03/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(79, 230, (TO_DATE('03/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(80, 74, (TO_DATE('03/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(81, 85, (TO_DATE('03/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(82, 165, (TO_DATE('03/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(83, 200, (TO_DATE('03/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(84, 218, (TO_DATE('03/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(85, 273, (TO_DATE('03/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(86, 265, (TO_DATE('03/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(87, 322, (TO_DATE('03/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(88, 38, (TO_DATE('03/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(89, 21, (TO_DATE('03/14/2006', 'mm/dd/yyyy')), 100); 
